địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Nha Trang,01/01/2014,0.0,62.0,56.0,0.0,3.0,14.0,62.0,Vừa Phải
Nha Trang,02/01/2014,128.0,46.0,71.0,0.0,3.0,10.0,128.0,Không tốt cho người nhạy cảm
Nha Trang,03/01/2014,111.0,44.0,42.0,0.0,2.0,8.0,111.0,Không tốt cho người nhạy cảm
Nha Trang,04/01/2014,99.0,0.0,0.0,0.0,0.0,0.0,99.0,Vừa Phải
Nha Trang,05/01/2014,0.0,54.0,106.0,0.0,3.0,9.0,106.0,Không tốt cho người nhạy cảm
Nha Trang,06/01/2014,116.0,50.0,45.0,0.0,8.0,9.0,116.0,Không tốt cho người nhạy cảm
Nha Trang,07/01/2014,119.0,0.0,0.0,0.0,0.0,0.0,119.0,Không tốt cho người nhạy cảm
Nha Trang,08/01/2014,0.0,49.0,85.0,0.0,3.0,7.0,85.0,Vừa Phải
Nha Trang,09/01/2014,97.0,53.0,73.0,0.0,2.0,5.0,97.0,Vừa Phải
Nha Trang,10/01/2014,115.0,51.0,58.0,0.0,2.0,7.0,115.0,Không tốt cho người nhạy cảm
Nha Trang,11/01/2014,105.0,36.0,60.0,0.0,2.0,4.0,105.0,Không tốt cho người nhạy cảm
Nha Trang,12/01/2014,75.0,41.0,59.0,0.0,2.0,4.0,75.0,Vừa Phải
Nha Trang,13/01/2014,82.0,0.0,0.0,0.0,0.0,0.0,82.0,Vừa Phải
Nha Trang,14/01/2014,0.0,40.0,92.0,0.0,7.0,8.0,92.0,Vừa Phải
Nha Trang,15/01/2014,75.0,37.0,76.0,0.0,3.0,7.0,76.0,Vừa Phải
Nha Trang,16/01/2014,77.0,33.0,60.0,0.0,3.0,8.0,77.0,Vừa Phải
Nha Trang,17/01/2014,72.0,35.0,109.0,0.0,3.0,4.0,109.0,Không tốt cho người nhạy cảm
Nha Trang,18/01/2014,73.0,36.0,95.0,0.0,3.0,6.0,95.0,Vừa Phải
Nha Trang,19/01/2014,77.0,38.0,95.0,0.0,3.0,7.0,95.0,Vừa Phải
Nha Trang,20/01/2014,81.0,21.0,84.0,0.0,3.0,3.0,84.0,Vừa Phải
Nha Trang,21/01/2014,63.0,54.0,134.0,0.0,3.0,9.0,134.0,Không tốt cho người nhạy cảm
Nha Trang,22/01/2014,119.0,50.0,105.0,0.0,3.0,8.0,119.0,Không tốt cho người nhạy cảm
Nha Trang,23/01/2014,112.0,47.0,86.0,0.0,3.0,9.0,112.0,Không tốt cho người nhạy cảm
Nha Trang,24/01/2014,99.0,38.0,73.0,0.0,3.0,8.0,99.0,Vừa Phải
Nha Trang,25/01/2014,84.0,33.0,61.0,0.0,3.0,8.0,84.0,Vừa Phải
Nha Trang,26/01/2014,76.0,33.0,66.0,0.0,3.0,8.0,76.0,Vừa Phải
Nha Trang,27/01/2014,77.0,32.0,83.0,0.0,3.0,8.0,83.0,Vừa Phải
Nha Trang,28/01/2014,77.0,39.0,78.0,0.0,3.0,8.0,78.0,Vừa Phải
Nha Trang,29/01/2014,94.0,34.0,78.0,0.0,3.0,7.0,94.0,Vừa Phải
Nha Trang,30/01/2014,79.0,30.0,56.0,0.0,3.0,10.0,79.0,Vừa Phải
Nha Trang,31/01/2014,68.0,30.0,59.0,0.0,3.0,7.0,68.0,Vừa Phải
Nha Trang,01/02/2014,68.0,25.0,54.0,0.0,3.0,5.0,68.0,Vừa Phải
Nha Trang,02/02/2014,64.0,34.0,52.0,0.0,3.0,7.0,64.0,Vừa Phải
Nha Trang,03/02/2014,79.0,33.0,49.0,0.0,3.0,6.0,79.0,Vừa Phải
Nha Trang,04/02/2014,80.0,22.0,40.0,0.0,3.0,8.0,80.0,Vừa Phải
Nha Trang,05/02/2014,58.0,24.0,43.0,0.0,3.0,7.0,58.0,Vừa Phải
Nha Trang,06/02/2014,64.0,29.0,44.0,0.0,3.0,7.0,64.0,Vừa Phải
Nha Trang,07/02/2014,74.0,30.0,42.0,0.0,3.0,8.0,74.0,Vừa Phải
Nha Trang,08/02/2014,71.0,27.0,38.0,0.0,3.0,7.0,71.0,Vừa Phải
Nha Trang,09/02/2014,69.0,28.0,51.0,0.0,3.0,6.0,69.0,Vừa Phải
Nha Trang,10/02/2014,75.0,17.0,67.0,0.0,3.0,6.0,75.0,Vừa Phải
Nha Trang,11/02/2014,39.0,28.0,72.0,0.0,3.0,9.0,72.0,Vừa Phải
Nha Trang,12/02/2014,67.0,34.0,77.0,0.0,3.0,10.0,77.0,Vừa Phải
Nha Trang,13/02/2014,82.0,20.0,85.0,0.0,3.0,8.0,85.0,Vừa Phải
Nha Trang,14/02/2014,49.0,27.0,96.0,0.0,3.0,8.0,96.0,Vừa Phải
Nha Trang,15/02/2014,67.0,31.0,91.0,0.0,3.0,8.0,91.0,Vừa Phải
Nha Trang,16/02/2014,73.0,36.0,81.0,0.0,3.0,8.0,81.0,Vừa Phải
Nha Trang,17/02/2014,85.0,36.0,59.0,0.0,3.0,8.0,85.0,Vừa Phải
Nha Trang,18/02/2014,88.0,31.0,76.0,0.0,3.0,9.0,88.0,Vừa Phải
Nha Trang,19/02/2014,74.0,14.0,80.0,0.0,3.0,9.0,80.0,Vừa Phải
Nha Trang,20/02/2014,30.0,25.0,82.0,0.0,3.0,10.0,82.0,Vừa Phải
Nha Trang,21/02/2014,60.0,28.0,81.0,0.0,3.0,7.0,81.0,Vừa Phải
Nha Trang,22/02/2014,67.0,27.0,80.0,0.0,3.0,6.0,80.0,Vừa Phải
Nha Trang,23/02/2014,65.0,32.0,72.0,0.0,3.0,7.0,72.0,Vừa Phải
Nha Trang,24/02/2014,71.0,34.0,69.0,0.0,3.0,7.0,71.0,Vừa Phải
Nha Trang,25/02/2014,79.0,41.0,28.0,0.0,3.0,10.0,79.0,Vừa Phải
Nha Trang,26/02/2014,96.0,28.0,56.0,0.0,3.0,6.0,96.0,Vừa Phải
Nha Trang,27/02/2014,64.0,29.0,54.0,0.0,3.0,7.0,64.0,Vừa Phải
Nha Trang,28/02/2014,69.0,31.0,48.0,0.0,3.0,7.0,69.0,Vừa Phải
Nha Trang,01/03/2014,77.0,30.0,56.0,0.0,3.0,7.0,77.0,Vừa Phải
Nha Trang,02/03/2014,79.0,37.0,52.0,0.0,3.0,8.0,79.0,Vừa Phải
Nha Trang,03/03/2014,88.0,42.0,54.0,0.0,3.0,9.0,88.0,Vừa Phải
Nha Trang,04/03/2014,92.0,33.0,60.0,0.0,3.0,8.0,92.0,Vừa Phải
Nha Trang,05/03/2014,78.0,37.0,75.0,0.0,3.0,8.0,78.0,Vừa Phải
Nha Trang,06/03/2014,91.0,36.0,73.0,0.0,3.0,8.0,91.0,Vừa Phải
Nha Trang,07/03/2014,92.0,37.0,79.0,0.0,3.0,9.0,92.0,Vừa Phải
Nha Trang,08/03/2014,93.0,31.0,59.0,0.0,3.0,7.0,93.0,Vừa Phải
Nha Trang,09/03/2014,81.0,24.0,61.0,0.0,3.0,6.0,81.0,Vừa Phải
Nha Trang,10/03/2014,65.0,33.0,85.0,0.0,3.0,8.0,85.0,Vừa Phải
Nha Trang,11/03/2014,80.0,32.0,75.0,0.0,3.0,7.0,80.0,Vừa Phải
Nha Trang,12/03/2014,81.0,30.0,60.0,0.0,3.0,7.0,81.0,Vừa Phải
Nha Trang,13/03/2014,80.0,24.0,44.0,0.0,3.0,5.0,80.0,Vừa Phải
Nha Trang,14/03/2014,66.0,23.0,83.0,0.0,3.0,3.0,83.0,Vừa Phải
Nha Trang,15/03/2014,60.0,28.0,68.0,0.0,3.0,6.0,68.0,Vừa Phải
Nha Trang,16/03/2014,71.0,25.0,44.0,0.0,4.0,7.0,71.0,Vừa Phải
Nha Trang,17/03/2014,68.0,32.0,36.0,0.0,4.0,9.0,68.0,Vừa Phải
Nha Trang,18/03/2014,81.0,32.0,83.0,0.0,4.0,8.0,83.0,Vừa Phải
Nha Trang,19/03/2014,83.0,32.0,65.0,0.0,4.0,8.0,83.0,Vừa Phải
Nha Trang,20/03/2014,81.0,26.0,67.0,0.0,4.0,5.0,81.0,Vừa Phải
Nha Trang,21/03/2014,69.0,35.0,88.0,0.0,4.0,5.0,88.0,Vừa Phải
Nha Trang,22/03/2014,82.0,15.0,77.0,0.0,4.0,8.0,82.0,Vừa Phải
Nha Trang,23/03/2014,49.0,22.0,62.0,0.0,4.0,6.0,62.0,Vừa Phải
Nha Trang,24/03/2014,60.0,27.0,63.0,0.0,4.0,5.0,63.0,Vừa Phải
Nha Trang,25/03/2014,68.0,28.0,48.0,0.0,4.0,6.0,68.0,Vừa Phải
Nha Trang,26/03/2014,67.0,30.0,37.0,0.0,4.0,6.0,67.0,Vừa Phải
Nha Trang,27/03/2014,75.0,10.0,32.0,0.0,42.0,5.0,75.0,Vừa Phải
Nha Trang,28/03/2014,38.0,21.0,51.0,0.0,4.0,5.0,51.0,Vừa Phải
Nha Trang,29/03/2014,54.0,21.0,40.0,0.0,4.0,5.0,54.0,Vừa Phải
Nha Trang,30/03/2014,57.0,19.0,42.0,0.0,4.0,5.0,57.0,Vừa Phải
Nha Trang,31/03/2014,55.0,22.0,43.0,0.0,4.0,7.0,55.0,Vừa Phải
Nha Trang,01/04/2014,61.0,22.0,20.0,0.0,4.0,6.0,61.0,Vừa Phải
Nha Trang,02/04/2014,60.0,19.0,26.0,0.0,4.0,6.0,60.0,Vừa Phải
Nha Trang,03/04/2014,57.0,21.0,38.0,0.0,4.0,4.0,57.0,Vừa Phải
Nha Trang,04/04/2014,53.0,34.0,47.0,0.0,4.0,7.0,53.0,Vừa Phải
Nha Trang,05/04/2014,72.0,30.0,46.0,0.0,4.0,6.0,72.0,Vừa Phải
Nha Trang,06/04/2014,70.0,35.0,40.0,0.0,4.0,10.0,70.0,Vừa Phải
Nha Trang,07/04/2014,81.0,30.0,40.0,0.0,4.0,11.0,81.0,Vừa Phải
Nha Trang,08/04/2014,72.0,27.0,44.0,0.0,4.0,8.0,72.0,Vừa Phải
Nha Trang,09/04/2014,66.0,24.0,45.0,0.0,4.0,6.0,66.0,Vừa Phải
Nha Trang,10/04/2014,60.0,33.0,38.0,0.0,4.0,7.0,60.0,Vừa Phải
Nha Trang,11/04/2014,84.0,31.0,50.0,0.0,4.0,7.0,84.0,Vừa Phải
Nha Trang,12/04/2014,76.0,26.0,49.0,0.0,4.0,5.0,76.0,Vừa Phải
Nha Trang,13/04/2014,68.0,29.0,43.0,0.0,4.0,6.0,68.0,Vừa Phải
Nha Trang,14/04/2014,71.0,28.0,84.0,0.0,30.0,5.0,84.0,Vừa Phải
Nha Trang,15/04/2014,73.0,32.0,47.0,0.0,4.0,7.0,73.0,Vừa Phải
Nha Trang,16/04/2014,78.0,37.0,53.0,0.0,4.0,8.0,78.0,Vừa Phải
Nha Trang,17/04/2014,82.0,34.0,54.0,0.0,4.0,8.0,82.0,Vừa Phải
Nha Trang,18/04/2014,77.0,31.0,48.0,0.0,4.0,7.0,77.0,Vừa Phải
Nha Trang,19/04/2014,74.0,25.0,39.0,0.0,4.0,6.0,74.0,Vừa Phải
Nha Trang,20/04/2014,64.0,21.0,39.0,0.0,4.0,6.0,64.0,Vừa Phải
Nha Trang,21/04/2014,55.0,24.0,44.0,0.0,4.0,6.0,55.0,Vừa Phải
Nha Trang,22/04/2014,58.0,27.0,41.0,0.0,4.0,7.0,58.0,Vừa Phải
Nha Trang,23/04/2014,62.0,29.0,43.0,0.0,4.0,7.0,62.0,Vừa Phải
Nha Trang,24/04/2014,69.0,27.0,50.0,0.0,4.0,7.0,69.0,Vừa Phải
Nha Trang,25/04/2014,68.0,27.0,55.0,0.0,4.0,8.0,68.0,Vừa Phải
Nha Trang,26/04/2014,69.0,25.0,48.0,0.0,4.0,6.0,69.0,Vừa Phải
Nha Trang,27/04/2014,64.0,20.0,33.0,0.0,4.0,5.0,64.0,Vừa Phải
Nha Trang,28/04/2014,51.0,19.0,38.0,0.0,4.0,6.0,51.0,Vừa Phải
Nha Trang,29/04/2014,44.0,20.0,43.0,0.0,4.0,9.0,44.0,Tốt
Nha Trang,30/04/2014,59.0,18.0,38.0,0.0,4.0,10.0,59.0,Vừa Phải
Nha Trang,01/05/2014,52.0,17.0,42.0,0.0,4.0,8.0,52.0,Vừa Phải
Nha Trang,02/05/2014,49.0,17.0,42.0,0.0,4.0,7.0,49.0,Tốt
Nha Trang,03/05/2014,44.0,18.0,35.0,0.0,4.0,6.0,44.0,Tốt
Nha Trang,04/05/2014,50.0,17.0,33.0,0.0,4.0,5.0,50.0,Tốt
Nha Trang,05/05/2014,47.0,21.0,27.0,0.0,4.0,11.0,47.0,Tốt
Nha Trang,06/05/2014,57.0,22.0,37.0,0.0,4.0,7.0,57.0,Vừa Phải
Nha Trang,07/05/2014,59.0,23.0,39.0,0.0,4.0,7.0,59.0,Vừa Phải
Nha Trang,08/05/2014,62.0,24.0,37.0,0.0,4.0,9.0,62.0,Vừa Phải
Nha Trang,09/05/2014,55.0,26.0,41.0,0.0,4.0,8.0,55.0,Vừa Phải
Nha Trang,10/05/2014,61.0,23.0,23.0,0.0,31.0,8.0,61.0,Vừa Phải
Nha Trang,11/05/2014,53.0,25.0,41.0,0.0,4.0,10.0,53.0,Vừa Phải
Nha Trang,12/05/2014,58.0,20.0,55.0,4.0,4.0,7.0,58.0,Vừa Phải
Nha Trang,13/05/2014,50.0,25.0,67.0,6.0,4.0,9.0,67.0,Vừa Phải
Nha Trang,14/05/2014,64.0,25.0,69.0,7.0,4.0,9.0,69.0,Vừa Phải
Nha Trang,15/05/2014,61.0,23.0,63.0,6.0,4.0,8.0,63.0,Vừa Phải
Nha Trang,16/05/2014,58.0,22.0,52.0,6.0,4.0,7.0,58.0,Vừa Phải
Nha Trang,17/05/2014,58.0,20.0,57.0,5.0,4.0,6.0,58.0,Vừa Phải
Nha Trang,18/05/2014,52.0,16.0,57.0,5.0,4.0,7.0,57.0,Vừa Phải
Nha Trang,19/05/2014,45.0,19.0,47.0,6.0,4.0,8.0,47.0,Tốt
Nha Trang,20/05/2014,47.0,21.0,54.0,7.0,4.0,9.0,54.0,Vừa Phải
Nha Trang,21/05/2014,53.0,25.0,62.0,7.0,4.0,9.0,62.0,Vừa Phải
Nha Trang,22/05/2014,60.0,26.0,65.0,8.0,4.0,10.0,65.0,Vừa Phải
Nha Trang,23/05/2014,61.0,19.0,86.0,4.0,4.0,5.0,86.0,Vừa Phải
Nha Trang,24/05/2014,55.0,16.0,48.0,4.0,4.0,5.0,55.0,Vừa Phải
Nha Trang,25/05/2014,47.0,13.0,33.0,4.0,4.0,5.0,47.0,Tốt
Nha Trang,26/05/2014,41.0,15.0,41.0,5.0,4.0,6.0,41.0,Tốt
Nha Trang,27/05/2014,41.0,19.0,57.0,6.0,4.0,8.0,57.0,Vừa Phải
Nha Trang,28/05/2014,49.0,22.0,69.0,7.0,5.0,8.0,69.0,Vừa Phải
Nha Trang,29/05/2014,49.0,20.0,72.0,6.0,5.0,7.0,72.0,Vừa Phải
Nha Trang,30/05/2014,53.0,19.0,68.0,8.0,5.0,9.0,68.0,Vừa Phải
Nha Trang,31/05/2014,51.0,20.0,57.0,6.0,5.0,8.0,57.0,Vừa Phải
Nha Trang,01/06/2014,53.0,20.0,49.0,7.0,7.0,9.0,53.0,Vừa Phải
Nha Trang,02/06/2014,53.0,18.0,69.0,6.0,5.0,8.0,69.0,Vừa Phải
Nha Trang,03/06/2014,46.0,22.0,68.0,8.0,5.0,8.0,68.0,Vừa Phải
Nha Trang,04/06/2014,56.0,24.0,76.0,7.0,5.0,9.0,76.0,Vừa Phải
Nha Trang,05/06/2014,56.0,23.0,74.0,7.0,5.0,9.0,74.0,Vừa Phải
Nha Trang,06/06/2014,51.0,21.0,80.0,6.0,5.0,8.0,80.0,Vừa Phải
Nha Trang,07/06/2014,53.0,21.0,73.0,7.0,5.0,8.0,73.0,Vừa Phải
Nha Trang,08/06/2014,56.0,26.0,77.0,8.0,5.0,8.0,77.0,Vừa Phải
Nha Trang,09/06/2014,64.0,24.0,51.0,7.0,5.0,8.0,64.0,Vừa Phải
Nha Trang,10/06/2014,45.0,20.0,54.0,6.0,5.0,7.0,54.0,Vừa Phải
Nha Trang,11/06/2014,40.0,16.0,43.0,6.0,5.0,7.0,43.0,Tốt
Nha Trang,12/06/2014,41.0,21.0,58.0,7.0,5.0,9.0,58.0,Vừa Phải
Nha Trang,13/06/2014,52.0,19.0,46.0,6.0,5.0,7.0,52.0,Vừa Phải
Nha Trang,14/06/2014,59.0,22.0,65.0,8.0,5.0,9.0,65.0,Vừa Phải
Nha Trang,15/06/2014,61.0,24.0,54.0,9.0,5.0,9.0,61.0,Vừa Phải
Nha Trang,16/06/2014,58.0,21.0,64.0,7.0,5.0,7.0,64.0,Vừa Phải
Nha Trang,17/06/2014,52.0,30.0,64.0,9.0,5.0,9.0,64.0,Vừa Phải
Nha Trang,18/06/2014,67.0,23.0,64.0,7.0,5.0,8.0,67.0,Vừa Phải
Nha Trang,19/06/2014,57.0,29.0,54.0,6.0,5.0,8.0,57.0,Vừa Phải
Nha Trang,20/06/2014,68.0,28.0,51.0,7.0,5.0,7.0,68.0,Vừa Phải
Nha Trang,21/06/2014,69.0,22.0,50.0,6.0,5.0,5.0,69.0,Vừa Phải
Nha Trang,22/06/2014,47.0,19.0,44.0,6.0,5.0,7.0,47.0,Tốt
Nha Trang,23/06/2014,45.0,18.0,63.0,5.0,5.0,5.0,63.0,Vừa Phải
Nha Trang,24/06/2014,47.0,22.0,53.0,6.0,5.0,7.0,53.0,Vừa Phải
Nha Trang,25/06/2014,57.0,23.0,50.0,8.0,5.0,10.0,57.0,Vừa Phải
Nha Trang,26/06/2014,47.0,27.0,55.0,9.0,5.0,12.0,55.0,Vừa Phải
Nha Trang,27/06/2014,60.0,23.0,47.0,8.0,5.0,13.0,60.0,Vừa Phải
Nha Trang,28/06/2014,58.0,15.0,44.0,6.0,5.0,8.0,58.0,Vừa Phải
Nha Trang,29/06/2014,39.0,16.0,63.0,6.0,5.0,10.0,63.0,Vừa Phải
Nha Trang,30/06/2014,42.0,15.0,47.0,4.0,5.0,7.0,47.0,Tốt
Nha Trang,01/07/2014,39.0,17.0,51.0,6.0,5.0,8.0,51.0,Vừa Phải
Nha Trang,02/07/2014,46.0,17.0,56.0,6.0,5.0,9.0,56.0,Vừa Phải
Nha Trang,03/07/2014,47.0,16.0,63.0,7.0,5.0,9.0,63.0,Vừa Phải
Nha Trang,04/07/2014,45.0,17.0,55.0,6.0,5.0,9.0,55.0,Vừa Phải
Nha Trang,05/07/2014,41.0,14.0,53.0,6.0,5.0,8.0,53.0,Vừa Phải
Nha Trang,06/07/2014,36.0,15.0,53.0,6.0,5.0,9.0,53.0,Vừa Phải
Nha Trang,07/07/2014,32.0,11.0,54.0,5.0,5.0,7.0,54.0,Vừa Phải
Nha Trang,08/07/2014,25.0,17.0,31.0,7.0,5.0,11.0,31.0,Tốt
Nha Trang,09/07/2014,48.0,17.0,47.0,7.0,5.0,9.0,48.0,Tốt
Nha Trang,10/07/2014,41.0,19.0,28.0,8.0,5.0,12.0,41.0,Tốt
Nha Trang,11/07/2014,44.0,16.0,14.0,6.0,6.0,8.0,44.0,Tốt
Nha Trang,12/07/2014,42.0,10.0,14.0,6.0,5.0,6.0,42.0,Tốt
Nha Trang,13/07/2014,36.0,0.0,0.0,0.0,0.0,0.0,36.0,Tốt
Nha Trang,14/07/2014,0.0,17.0,41.0,7.0,5.0,9.0,41.0,Tốt
Nha Trang,15/07/2014,49.0,16.0,47.0,5.0,5.0,8.0,49.0,Tốt
Nha Trang,16/07/2014,44.0,28.0,40.0,13.0,5.0,18.0,44.0,Tốt
Nha Trang,17/07/2014,62.0,22.0,40.0,9.0,5.0,12.0,62.0,Vừa Phải
Nha Trang,18/07/2014,55.0,8.0,16.0,3.0,6.0,3.0,55.0,Vừa Phải
Nha Trang,19/07/2014,25.0,24.0,26.0,6.0,6.0,8.0,26.0,Tốt
Nha Trang,20/07/2014,63.0,20.0,39.0,7.0,6.0,12.0,63.0,Vừa Phải
Nha Trang,21/07/2014,60.0,13.0,30.0,8.0,5.0,11.0,60.0,Vừa Phải
Nha Trang,22/07/2014,34.0,15.0,44.0,7.0,5.0,10.0,44.0,Tốt
Nha Trang,23/07/2014,41.0,20.0,45.0,8.0,6.0,9.0,45.0,Tốt
Nha Trang,24/07/2014,53.0,24.0,56.0,8.0,6.0,10.0,56.0,Vừa Phải
Nha Trang,25/07/2014,58.0,25.0,67.0,6.0,6.0,7.0,67.0,Vừa Phải
Nha Trang,26/07/2014,53.0,21.0,52.0,6.0,5.0,7.0,53.0,Vừa Phải
Nha Trang,27/07/2014,52.0,22.0,48.0,7.0,6.0,8.0,52.0,Vừa Phải
Nha Trang,28/07/2014,52.0,16.0,45.0,5.0,6.0,7.0,52.0,Vừa Phải
Nha Trang,29/07/2014,42.0,15.0,14.0,5.0,6.0,8.0,42.0,Tốt
Nha Trang,30/07/2014,43.0,12.0,6.0,6.0,6.0,8.0,43.0,Tốt
Nha Trang,31/07/2014,36.0,14.0,2.0,5.0,6.0,14.0,36.0,Tốt
Nha Trang,01/08/2014,46.0,21.0,4.0,4.0,6.0,10.0,46.0,Tốt
Nha Trang,02/08/2014,57.0,23.0,5.0,6.0,6.0,10.0,57.0,Vừa Phải
Nha Trang,03/08/2014,60.0,20.0,35.0,4.0,6.0,8.0,60.0,Vừa Phải
Nha Trang,04/08/2014,50.0,20.0,41.0,6.0,6.0,11.0,50.0,Tốt
Nha Trang,05/08/2014,53.0,21.0,43.0,6.0,6.0,10.0,53.0,Vừa Phải
Nha Trang,06/08/2014,54.0,22.0,47.0,8.0,6.0,11.0,54.0,Vừa Phải
Nha Trang,07/08/2014,54.0,30.0,47.0,8.0,6.0,12.0,54.0,Vừa Phải
Nha Trang,08/08/2014,69.0,27.0,60.0,8.0,6.0,11.0,69.0,Vừa Phải
Nha Trang,09/08/2014,67.0,26.0,76.0,8.0,6.0,10.0,76.0,Vừa Phải
Nha Trang,10/08/2014,63.0,29.0,68.0,9.0,6.0,13.0,68.0,Vừa Phải
Nha Trang,11/08/2014,71.0,28.0,66.0,9.0,6.0,12.0,71.0,Vừa Phải
Nha Trang,12/08/2014,68.0,31.0,55.0,9.0,7.0,11.0,68.0,Vừa Phải
Nha Trang,13/08/2014,78.0,27.0,55.0,8.0,7.0,11.0,78.0,Vừa Phải
Nha Trang,14/08/2014,68.0,22.0,13.0,7.0,7.0,8.0,68.0,Vừa Phải
Nha Trang,15/08/2014,67.0,22.0,71.0,6.0,6.0,7.0,71.0,Vừa Phải
Nha Trang,16/08/2014,65.0,0.0,0.0,0.0,0.0,0.0,65.0,Vừa Phải
Nha Trang,17/08/2014,0.0,25.0,51.0,7.0,7.0,10.0,51.0,Vừa Phải
Nha Trang,18/08/2014,60.0,24.0,67.0,6.0,6.0,9.0,67.0,Vừa Phải
Nha Trang,19/08/2014,64.0,19.0,72.0,5.0,6.0,9.0,72.0,Vừa Phải
Nha Trang,20/08/2014,52.0,21.0,72.0,6.0,6.0,9.0,72.0,Vừa Phải
Nha Trang,21/08/2014,57.0,15.0,58.0,4.0,6.0,6.0,58.0,Vừa Phải
Nha Trang,22/08/2014,45.0,17.0,54.0,5.0,6.0,7.0,54.0,Vừa Phải
Nha Trang,23/08/2014,51.0,22.0,56.0,6.0,6.0,9.0,56.0,Vừa Phải
Nha Trang,24/08/2014,61.0,14.0,56.0,3.0,6.0,6.0,61.0,Vừa Phải
Nha Trang,25/08/2014,45.0,11.0,47.0,4.0,6.0,7.0,47.0,Tốt
Nha Trang,26/08/2014,34.0,12.0,45.0,4.0,7.0,7.0,45.0,Tốt
Nha Trang,27/08/2014,34.0,20.0,40.0,3.0,7.0,7.0,40.0,Tốt
Nha Trang,28/08/2014,40.0,15.0,31.0,4.0,7.0,9.0,40.0,Tốt
Nha Trang,29/08/2014,43.0,13.0,0.0,4.0,7.0,0.0,43.0,Tốt
Nha Trang,30/08/2014,37.0,16.0,28.0,6.0,5.0,8.0,37.0,Tốt
Nha Trang,31/08/2014,46.0,16.0,37.0,4.0,3.0,10.0,46.0,Tốt
Nha Trang,01/09/2014,46.0,11.0,39.0,3.0,3.0,8.0,46.0,Tốt
Nha Trang,02/09/2014,36.0,18.0,37.0,5.0,4.0,12.0,37.0,Tốt
Nha Trang,03/09/2014,47.0,15.0,38.0,6.0,4.0,9.0,47.0,Tốt
Nha Trang,04/09/2014,41.0,14.0,40.0,4.0,4.0,9.0,41.0,Tốt
Nha Trang,05/09/2014,34.0,13.0,37.0,4.0,4.0,8.0,37.0,Tốt
Nha Trang,06/09/2014,37.0,13.0,42.0,5.0,4.0,9.0,42.0,Tốt
Nha Trang,07/09/2014,37.0,14.0,36.0,4.0,4.0,9.0,37.0,Tốt
Nha Trang,08/09/2014,36.0,13.0,47.0,4.0,4.0,8.0,47.0,Tốt
Nha Trang,09/09/2014,39.0,12.0,33.0,7.0,4.0,14.0,39.0,Tốt
Nha Trang,10/09/2014,44.0,16.0,33.0,7.0,4.0,15.0,44.0,Tốt
Nha Trang,11/09/2014,47.0,15.0,29.0,6.0,4.0,13.0,47.0,Tốt
Nha Trang,12/09/2014,47.0,9.0,31.0,4.0,4.0,10.0,47.0,Tốt
Nha Trang,13/09/2014,34.0,11.0,37.0,5.0,4.0,10.0,37.0,Tốt
Nha Trang,14/09/2014,32.0,10.0,30.0,5.0,4.0,11.0,32.0,Tốt
Nha Trang,15/09/2014,32.0,18.0,30.0,7.0,4.0,15.0,32.0,Tốt
Nha Trang,16/09/2014,37.0,15.0,30.0,5.0,4.0,10.0,37.0,Tốt
Nha Trang,17/09/2014,44.0,13.0,35.0,3.0,4.0,6.0,44.0,Tốt
Nha Trang,18/09/2014,42.0,15.0,39.0,5.0,4.0,7.0,42.0,Tốt
Nha Trang,19/09/2014,47.0,24.0,42.0,7.0,4.0,11.0,47.0,Tốt
Nha Trang,20/09/2014,59.0,21.0,43.0,5.0,5.0,10.0,59.0,Vừa Phải
Nha Trang,21/09/2014,50.0,15.0,17.0,4.0,5.0,8.0,50.0,Tốt
Nha Trang,22/09/2014,43.0,19.0,51.0,6.0,5.0,11.0,51.0,Vừa Phải
Nha Trang,23/09/2014,54.0,14.0,45.0,4.0,4.0,7.0,54.0,Vừa Phải
Nha Trang,24/09/2014,47.0,13.0,40.0,3.0,4.0,5.0,47.0,Tốt
Nha Trang,25/09/2014,43.0,9.0,35.0,3.0,5.0,6.0,43.0,Tốt
Nha Trang,26/09/2014,32.0,12.0,32.0,3.0,5.0,5.0,32.0,Tốt
Nha Trang,27/09/2014,39.0,16.0,22.0,3.0,5.0,8.0,39.0,Tốt
Nha Trang,28/09/2014,52.0,14.0,26.0,2.0,5.0,5.0,52.0,Vừa Phải
Nha Trang,29/09/2014,45.0,15.0,21.0,2.0,5.0,6.0,45.0,Tốt
Nha Trang,30/09/2014,47.0,20.0,25.0,3.0,5.0,7.0,47.0,Tốt
Nha Trang,01/10/2014,47.0,25.0,35.0,4.0,5.0,8.0,47.0,Tốt
Nha Trang,02/10/2014,57.0,27.0,38.0,4.0,5.0,8.0,57.0,Vừa Phải
Nha Trang,03/10/2014,64.0,25.0,41.0,5.0,5.0,10.0,64.0,Vừa Phải
Nha Trang,04/10/2014,62.0,26.0,44.0,4.0,5.0,8.0,62.0,Vừa Phải
Nha Trang,05/10/2014,63.0,19.0,47.0,5.0,5.0,9.0,63.0,Vừa Phải
Nha Trang,06/10/2014,48.0,20.0,44.0,5.0,5.0,9.0,48.0,Tốt
Nha Trang,07/10/2014,52.0,20.0,25.0,9.0,5.0,20.0,52.0,Vừa Phải
Nha Trang,08/10/2014,51.0,38.0,79.0,9.0,6.0,15.0,79.0,Vừa Phải
