,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Hòa Phú,2023-09-08,0,8,0,1,2,1,8,Tốt
1,Hòa Phú,2023-09-09,8,14,0,2,2,2,14,Tốt
2,Hòa Phú,2023-09-10,13,21,0,2,0,1,21,Tốt
3,Hòa Phú,2023-09-11,21,24,0,3,2,3,24,Tốt
4,Hòa Phú,2023-09-12,25,27,0,1,2,1,27,Tốt
5,Hòa Phú,2023-09-13,32,27,0,1,2,2,32,Tốt
6,Hòa Phú,2023-09-14,34,17,0,1,2,1,34,Tốt
7,Hòa Phú,2023-09-15,19,0,0,0,0,0,19,Tốt
8,Hòa Phú,2023-09-27,0,29,0,19,3,2,29,Tốt
9,Hòa Phú,2023-09-28,35,34,0,4,3,3,35,Tốt
10,Hòa Phú,2023-09-29,37,21,0,2,4,2,37,Tốt
11,Hòa Phú,2023-09-30,26,20,0,1,2,1,26,Tốt
12,Hòa Phú,2023-10-01,24,10,0,1,2,1,24,Tốt
13,Hòa Phú,2023-10-02,9,11,0,1,2,2,11,Tốt
14,Hòa Phú,2023-10-03,8,13,0,1,2,2,13,Tốt
15,Hòa Phú,2023-10-04,11,19,0,1,2,3,19,Tốt
16,Hòa Phú,2023-10-05,14,25,0,1,3,2,25,Tốt
17,Hòa Phú,2023-10-06,21,22,0,1,2,4,22,Tốt
18,Hòa Phú,2023-10-07,19,18,0,1,3,0,19,Tốt
19,Hòa Phú,2023-10-08,16,25,0,1,3,0,25,Tốt
20,Hòa Phú,2023-10-09,24,25,0,3,4,0,25,Tốt
21,Hòa Phú,2023-10-10,26,26,0,2,3,0,26,Tốt
22,Hòa Phú,2023-10-11,30,26,0,1,3,0,30,Tốt
23,Hòa Phú,2023-10-12,31,33,0,1,3,0,33,Tốt
24,Hòa Phú,2023-10-13,39,28,0,1,3,0,39,Tốt
25,Hòa Phú,2023-10-14,36,21,0,1,3,1,36,Tốt
26,Hòa Phú,2023-10-15,24,12,0,0,3,0,24,Tốt
27,Hòa Phú,2023-10-16,11,20,0,0,3,0,20,Tốt
28,Hòa Phú,2023-10-17,18,21,0,0,3,0,21,Tốt
29,Hòa Phú,2023-10-18,23,41,0,0,4,0,41,Tốt
30,Hòa Phú,2023-10-19,60,0,0,0,0,0,60,Vừa Phải
