date, pm25, pm10, o3, no2, so2, co
2022/7/21, 1, , 22, 2, 16, 2
2022/7/22, 1, , 34, 2, 16, 1
2022/7/23, 1, , 29, 2, 16, 1
2022/7/25, 1, , 27, 2, 18, 1
2022/7/28, 1, , 36, 2, 16, 1
2022/7/30, 1, , 29, 2, 18, 1
2022/7/31, 1, , 28, 2, 16, 1
2022/8/1, 1, , 32, 2, 15, 1
2022/8/2, 1, , 47, 2, 16, 2
2022/8/24, 1, , 49, 2, 19, 2
2022/4/2, 1, 1, 33, 2, 9, 3
2022/4/3, 1, 1, 38, 2, 11, 3
2022/4/4, 1, 1, 85, 2, 18, 3
2022/4/5, 2, 1, 79, 2, 17, 4
2022/4/6, 2, 1, 83, 2, 18, 5
2022/4/7, 1, 1, 49, 2, 15, 3
2022/4/8, 1, 1, 113, 2, 25, 4
2022/4/9, 1, 1, 84, 2, 12, 2
2022/4/10, 1, 1, 46, 2, 11, 2
2022/4/11, 1, 1, 24, 2, 14, 2
2022/4/12, 1, 1, 21, 2, 12, 2
2022/4/13, 1, 1, 44, 2, 11, 2
2022/4/14, 1, 1, 37, 2, 11, 2
2022/4/15, 1, , 21, 2, 11, 2
2022/4/16, 1, , 22, 2, 11, 1
2022/4/18, 1, 1, 19, 2, 9, 2
2022/4/19, 1, 1, 26, 2, 11, 3
2022/4/20, 1, 1, 27, 2, 17, 3
2022/4/21, 1, , 28, 2, 14, 4
2022/4/22, 1, , 27, 2, 11, 2
2022/4/23, 1, , 31, 2, 10, 2
2022/4/24, 1, , 20, 2, 11, 2
2022/4/25, 1, , 24, , 9, 1
2022/4/27, 1, , 20, 2, 9, 1
2022/4/28, 1, , 15, 2, 10, 1
2022/4/29, 1, , 6, 2, 11, 2
2022/5/2, 1, 1, 36, 2, 10, 2
2022/5/3, 1, 1, 42, 2, 15, 2
2022/5/4, 1, 1, 82, 2, 23, 4
2022/5/5, 1, 1, 112, 2, 21, 3
2022/5/6, 1, 1, 45, 2, 24, 2
2022/5/7, 1, , 26, 2, 14, 1
2022/5/10, 1, , 24, 2, 12, 1
2022/5/11, 1, , 35, 2, 11, 2
2022/5/13, 1, , 20, 2, 12, 2
2022/5/14, 1, , 13, 2, 12, 3
2022/5/15, 1, 1, 18, 2, 12, 2
2022/5/16, 1, 1, 25, , 11, 2
2022/5/17, 1, 1, 48, , 14, 3
2022/5/18, 1, 1, 46, , 18, 3
2022/5/26, 1, , 24, 2, 12, 3
2022/5/27, 1, , 22, 2, 13, 2
2022/5/29, 1, , 23, 2, 13, 2
2022/5/31, 1, , 28, 2, 14, 2
2022/6/3, 1, 1, 23, 2, 16, 2
2022/6/4, 1, 1, 31, 2, 19, 2
2022/6/5, 1, , 58, 2, 15, 2
2022/6/6, 1, 1, 17, 2, 15, 2
2022/6/7, 1, , 27, 2, 16, 2
2022/6/8, 1, 1, 23, 2, 15, 2
2022/6/9, 1, , 42, 2, 15, 3
2022/6/10, 1, 1, 57, 2, 15, 3
2022/6/11, 1, 1, 25, 2, 15, 3
2022/6/12, 1, 1, 37, 2, 16, 4
2022/6/13, 1, , 39, 2, 16, 2
2022/6/15, 1, 1, 32, 2, 16, 2
2022/6/16, 1, 1, 27, 2, 20, 2
2022/6/17, 1, 1, 22, 2, 22, 2
2022/6/18, 1, 1, 24, 2, 20, 2
2022/6/19, 1, 1, 24, 2, 20, 3
2022/6/20, 1, 1, 28, 2, 20, 2
2022/6/21, 1, 1, 35, 2, 17, 2
2022/6/22, 1, 1, 36, 2, 16, 1
2022/6/23, 1, , 30, 2, 15, 2
2022/6/24, 1, , 27, 2, 15, 1
2022/6/25, 1, 1, 26, 2, 18, 1
2022/6/26, 1, 1, 29, 2, 14, 1
2022/6/27, 1, 1, 31, 2, 14, 1
2022/6/28, 1, 1, 68, 2, 13, 2
2022/6/29, 1, 1, 32, 2, 14, 2
2022/6/30, 1, 1, 30, 2, 15, 2
2022/1/25, 1, , 35, 6, 24, 3
2022/1/26, 1, , 38, , 25, 3
2022/1/27, 1, , 41, , 25, 2
2022/1/28, 1, 1, 47, , 24, 2
2022/1/29, 1, , 32, 6, 25, 4
2022/2/3, 1, 1, 40, 6, 23, 3
2022/2/4, 1, 1, 39, 6, 23, 3
2022/2/5, 1, 1, 45, , 23, 2
2022/2/6, 1, 1, 32, , 22, 3
2022/2/7, 1, , 35, , 24, 4
